Regiao;Cor_Raca;ANO;SEXO;POPULACAO_ANALFABETA
Sul;Negra;2008;FEMININO;245.103
Centro_Oeste;Branca;2008;FEMININO;135.975
Centro_Oeste;Negra;2008;FEMININO;288.074
Norte;Branca;2009;FEMININO;89.836
Norte;Negra;2009;FEMININO;456.744
Nordeste;Branca;2009;FEMININO;797.907
Nordeste;Negra;2009;FEMININO;2.726.987
Sudeste;Branca;2009;FEMININO;912.276
Sudeste;Negra;2009;FEMININO;1.194.920
Sul;Branca;2009;FEMININO;436.347
Sul;Negra;2009;FEMININO;225.868
Centro_Oeste;Branca;2009;FEMININO;149.157
Centro_Oeste;Negra;2009;FEMININO;305.032
Norte;Branca;2011;FEMININO;108.353
Norte;Negra;2011;FEMININO;435.844
Nordeste;Branca;2011;FEMININO;789.286
Nordeste;Negra;2011;FEMININO;2.491.683
Sudeste;Branca;2011;FEMININO;700.092
Sudeste;Negra;2011;FEMININO;1.059.699
Sul;Branca;2011;FEMININO;382.618
Sul;Negra;2011;FEMININO;228.993
Centro_Oeste;Branca;2011;FEMININO;121.374
Centro_Oeste;Negra;2011;FEMININO;234.548
Norte;Branca;2012;FEMININO;93.742
Norte;Negra;2012;FEMININO;449.467
Nordeste;Branca;2012;FEMININO;739.286
Nordeste;Negra;2012;FEMININO;2.620.623
Sudeste;Branca;2012;FEMININO;758.459
Sudeste;Negra;2012;FEMININO;1.053.587
Sul;Branca;2012;FEMININO;372.890
Sul;Negra;2012;FEMININO;209.720
Centro_Oeste;Branca;2012;FEMININO;118.620
Centro_Oeste;Negra;2012;FEMININO;264.983
Norte;Branca;2013;FEMININO;95.259
Norte;Negra;2013;FEMININO;432.078
Nordeste;Branca;2013;FEMININO;766.274
Nordeste;Negra;2013;FEMININO;2.618.995
Sudeste;Branca;2013;FEMININO;754.575
Sudeste;Negra;2013;FEMININO;1.054.945
Sul;Branca;2013;FEMININO;349.462
Sul;Negra;2013;FEMININO;218.211
Centro_Oeste;Branca;2013;FEMININO;127.384
Centro_Oeste;Negra;2013;FEMININO;253.963
Norte;Branca;2014;FEMININO;95.199
Norte;Negra;2014;FEMININO;408.279
Nordeste;Branca;2014;FEMININO;732.702
Nordeste;Negra;2014;FEMININO;2.619.981
Sudeste;Branca;2014;FEMININO;704.993
Sudeste;Negra;2014;FEMININO;1.037.531
Sul;Branca;2014;FEMININO;342.121
Sul;Negra;2014;FEMININO;221.352
Centro_Oeste;Branca;2014;FEMININO;113.444
Centro_Oeste;Negra;2014;FEMININO;267.564
Norte;Branca;2015;FEMININO;78.777
Norte;Negra;2015;FEMININO;436.698
Nordeste;Branca;2015;FEMININO;748.553
Nordeste;Negra;2015;FEMININO;2.535.626
Sudeste;Branca;2015;FEMININO;668.664
Sudeste;Negra;2015;FEMININO;1.053.448
Sul;Branca;2015;FEMININO;341.505
Sul;Negra;2015;FEMININO;214.653
Centro_Oeste;Branca;2015;FEMININO;106.792
Centro_Oeste;Negra;2015;FEMININO;226.853
